t,ax,ay,az
2.52,35.638600000000004,-38.5678,57.607600000000005
2.5300000000000002,36.1268,-40.0324,58.095800000000004
2.54,36.615,-39.056000000000004,57.607600000000005
2.5500000000000003,35.638600000000004,-39.544200000000004,56.6312
2.56,36.1268,-39.544200000000004,58.095800000000004
2.57,36.1268,-39.544200000000004,57.119400000000006
2.58,36.1268,-40.0324,57.607600000000005
2.59,34.6622,-40.0324,56.6312
2.6,35.150400000000005,-40.0324,55.1666
2.61,36.1268,-41.0088,56.6312
2.62,35.150400000000005,-39.544200000000004,56.6312
2.63,35.638600000000004,-40.0324,55.6548
2.64,35.150400000000005,-39.544200000000004,56.143
2.65,36.1268,-39.544200000000004,55.6548
2.66,35.638600000000004,-38.5678,56.6312
2.67,36.1268,-38.5678,55.6548
2.68,35.638600000000004,-39.056000000000004,55.6548
2.69,35.150400000000005,-39.544200000000004,54.6784
2.7,36.1268,-39.544200000000004,55.1666
2.71,36.1268,-39.544200000000004,55.1666
2.72,35.638600000000004,-40.0324,55.1666
2.73,35.638600000000004,-39.544200000000004,54.6784
2.74,36.1268,-39.544200000000004,55.1666
2.75,37.1032,-38.5678,55.6548
2.7600000000000002,36.615,-38.5678,54.190200000000004
2.77,36.1268,-39.056000000000004,54.190200000000004
2.7800000000000002,36.1268,-39.056000000000004,55.1666
2.79,35.150400000000005,-38.0796,54.190200000000004
2.8000000000000003,36.1268,-39.056000000000004,54.6784
2.81,35.150400000000005,-38.5678,54.6784
2.82,35.150400000000005,-38.0796,54.190200000000004
2.83,35.638600000000004,-38.5678,55.1666
2.84,34.6622,-37.5914,54.6784
2.85,35.638600000000004,-39.056000000000004,55.1666
2.86,35.638600000000004,-38.5678,53.702000000000005
2.87,36.1268,-37.5914,53.702000000000005
2.88,35.150400000000005,-38.0796,54.190200000000004
2.89,35.638600000000004,-37.5914,54.190200000000004
2.9,35.638600000000004,-37.1032,54.190200000000004
2.91,35.638600000000004,-38.0796,53.2138
2.92,33.6858,-37.1032,54.190200000000004
2.93,34.6622,-37.5914,53.702000000000005
2.94,34.6622,-36.615,54.190200000000004
2.95,33.6858,-36.1268,53.702000000000005
2.96,33.1976,-36.615,53.702000000000005
2.97,33.6858,-37.5914,53.2138
2.98,32.7094,-37.1032,53.2138
2.99,33.1976,-37.1032,52.7256
3.0,34.174,-37.5914,51.7492
3.0100000000000002,32.2212,-36.1268,50.772800000000004
3.02,30.756600000000002,-35.150400000000005,49.796400000000006
3.0300000000000002,29.292,-34.6622,47.3554
3.04,28.803800000000003,-33.6858,44.9144
3.0500000000000003,27.8274,-32.7094,43.4498
3.06,27.3392,-31.733,41.9852
3.0700000000000003,26.3628,-29.292,40.5206
3.08,24.41,-28.803800000000003,39.056000000000004
3.09,23.433600000000002,-27.8274,37.1032
3.1,22.9454,-27.8274,35.150400000000005
3.11,21.969,-26.851000000000003,34.174
3.12,20.5044,-25.8746,31.733
3.13,19.528000000000002,-24.41,29.7802
3.14,18.5516,-24.41,28.3156
3.15,17.575200000000002,-22.4572,25.8746
3.16,16.1106,-20.9926,25.386400000000002
3.17,15.1342,-21.480800000000002,22.4572
3.18,14.1578,-20.0162,21.969
3.19,11.716800000000001,-18.0634,20.5044
3.2,11.2286,-17.575200000000002,19.528000000000002
3.21,10.740400000000001,-16.5988,18.0634
3.22,9.2758,-16.5988,16.1106
3.23,8.787600000000001,-15.1342,14.1578
3.24,7.8112,-13.6696,12.693200000000001
3.25,5.8584000000000005,-12.693200000000001,11.2286
