t,wx,wy,wz
1.8900000000000001,7.541099438799889,1.6910537691579204,0.175597150353088
1.9000000000000001,7.6038887228655385,1.7006317955408161,-0.2777627651039756
1.9100000000000001,7.665613781777534,1.7474577023016395,0.1362208196678501
1.92,7.727338840689528,2.519020938701572,0.5416906032104352
1.93,7.789063899601523,1.8368526152086662,0.2011385540408099
1.94,7.851853183667172,2.2423223987512513,0.0606608337583395
1.95,7.914642467732822,2.049697645939682,-0.0755599859095106
1.96,7.976367526644816,2.16037706191981,0.7226088793317986
1.97,8.040221035864121,1.6963748949261959,0.7204804290244884
1.98,8.104074545083426,1.7878982581405325,1.2791986346934048
1.99,8.167928054302731,2.29234098097304,1.2004459733229291
2.0,8.231781563522036,1.9187979520401073,0.7385722566366247
2.0100000000000002,8.296699297894996,2.2338085975220108,0.14260617058978056
2.02,8.36268125742161,2.7574073731203095,0.9471603867530203
2.0300000000000002,8.42759899179457,2.1688908631490507,-0.2958545927161119
2.04,8.493580951321185,2.2997905570486257,0.00957802638289571
2.05,8.5595629108478,1.5409980224925544,0.4278185117693417
2.06,8.625544870374414,2.5913882491501172,0.4469745645351331
2.07,8.690462604747374,2.106101579083401,0.5768100332810527
2.08,8.75644456427399,2.4115341981824088,0.6449204431149779
2.09,8.820298073493294,2.941518324702638,0.47996554429844057
2.1,8.8841515827126,2.3263961858900024,0.8130680173924802
2.11,8.948005091931904,2.685040062671764,0.40334133323527493
2.12,9.009730150843898,2.6094800767622535,0.1564410975872966
2.13,9.071455209755893,3.3235751548648116,0.5448832786714004
2.14,9.132116043514232,2.8659583387931273,1.2153451254741001
2.15,9.191712652118916,2.669076685366938,1.5207777445731079
2.16,9.250245035569947,2.4392040521774407,1.3377310181444342
2.17,9.308777419020975,2.683975837518109,1.5271630954950381
2.18,9.365181352164694,2.9617386026220847,1.741072351379709
2.19,9.422649510462069,2.9149126958612612,1.1525558414084505
2.2,9.479053443605787,2.5786175473062563,1.470759162351319
2.21,9.535457376749507,2.764856949195895,0.6662049461880793
2.22,9.591861309893225,2.845738060873681,1.5324842212633136
2.23,9.648265243036946,3.3108044530209506,0.9865367174382581
2.24,9.704669176180664,2.6105443019159087,1.2855839856153353
2.25,9.762137334478039,2.993665357231737,2.050761871093337
2.2600000000000002,9.819605492775413,2.926619172551467,1.8027974102917037
2.27,9.877073651072788,2.9723808541586356,1.7219162986139176
2.2800000000000002,9.936670259677472,3.3363458567086726,1.6506132133190274
2.29,9.9952026431285,3.3235751548648116,2.0284131428665804
2.3000000000000003,10.054799251733186,3.400199365927977,1.254721456159338
2.31,10.11439586033787,3.7460725408658777,1.3015473629201615
2.32,10.17505669409621,3.765228593631669,1.6953106697725406
2.33,10.234653302700893,3.601337919968787,1.5111997181902121
2.34,10.295314136459233,3.339538532169638,1.0408122002746671
2.35,10.353846519910263,3.545998211978723,2.2423223987512513
2.36,10.413443128514947,4.03554178266006,1.1004088088793516
2.37,10.47091128681232,3.6162370721199584,1.578245902870482
2.38,10.528379445109696,3.6258150985028537,1.6761546170067494
2.39,10.584783378253414,3.763100143324359,1.9336971041912785
2.4,10.640123086243479,3.7460725408658777,1.537805347031589
2.41,10.695462794233544,3.820568301621733,2.2529646502878022
2.42,10.748674051916296,3.4981080800642443,2.4370756018701307
2.43,10.80188530959905,4.340974401759067,2.7861414522689967
2.44,10.855096567281805,3.533227510134862,1.765549529913776
2.45,10.907243599810904,3.4757593518374876,2.7446366712764485
2.46,10.958326407186348,3.77799929547553,2.4519747540213017
2.47,11.010473439715447,3.7173384617171905,1.7421365765333643
2.48,11.062620472244545,3.8450454801558003,2.985151556002496
2.49,11.115831729927299,3.6343288997320946,1.4675664868903537
2.5,11.169042987610053,3.935504618216482,2.281698729436489
2.5100000000000002,11.222254245292808,3.8365316789265593,2.3444880135021386
2.52,11.276529728129216,3.469374000915557,3.133078852360552
2.5300000000000002,11.330805210965625,3.975945174055375,1.9741376600301714
2.54,11.38614491895569,3.6226224230418884,2.0550187717079575
2.5500000000000003,11.441484626945753,3.767357043938979,2.6222507786061144
